Condition,Context,Regimen,OS,Cost,Study,PMB Status
Anaplastic glioma,First-line,"RT then Temozolomide",55.9,57639,CATNON,Meets
Cervical cancer,First-line,"CP + Pembrolizumab",50.4,2445997,KEYNOTE-826,Evidence Pending
Cervical cancer,First-line,"CP + Bevacizumab + Pembrolizumab",50.4,3964926,KEYNOTE-826,Evidence Pending
Cervical cancer,First-line,"TP + Pembrolizumab",50.4,2920595,KEYNOTE-826,Evidence Pending
Cervical cancer,First-line,"TP + Bevacizumab + Pembrolizumab",50.4,3958664,KEYNOTE-826,Evidence Pending
Clear cell RCC,First-line,"Ipilimumab + Nivolumab",56.0,665422,CheckMate 214,Evidence Pending
Colorectal cancer,First-line,FULV,24.8,11440,Cunningham 2008,Evidence Pending
Colorectal cancer,Second-line,Irinotecan,46.0,27678,Fuchs 2003,Evidence Pending
Endometrial cancer,First-line,"CP + Dostarlimab",71.3,15869,RUBY,Evidence Pending
Gastric cancer,First-line,"Capecitabine + Cisplatin (CX)",48.0,5734,AVATAR,Evidence Pending
Glioblastoma,First-line,"Concurrent TMZ + RT then TMZ maintenance",30.1,,AVaglio,Evidence Pending
Head and neck cancer,First-line,"Celecoxib + Erlotinib + MTX + Nivolumab",43.4,21389,Patil 2023b,Evidence Pending
Head and neck cancer,First-line,"Celecoxib + Erlotinib + Methotrexate",16.3,7130,Patil 2023b,Evidence Pending
Head and neck cancer,Subsequent line,"Low-dose Methotrexate (LDMTX)",30.5,,EAGLE,Evidence Pending
Hepatocellular carcinoma,First-line,"Lenvatinib + Pembrolizumab + TACE",75.0,3836154,LEAP-012,Evidence Pending
Hepatocellular carcinoma,First-line,TACE,63.0,,Llovet 2002,Evidence Pending
Hepatocellular carcinoma,First-line,"Best supportive care",27.0,,Llovet 2002; Trinchet 1995,Evidence Pending
Hepatocellular carcinoma,First-line,"Durvalumab + Tremelimumab",19.6,512170,HIMALAYA,Meets
Hepatocellular carcinoma,First-line,Sorafenib,9.4,184952,HIMALAYA,Fails
Hepatocellular carcinoma,Subsequent line,Placebo,32.0,,Dollinger 2010,Evidence Pending
Melanoma,First-line,Pembrolizumab,68.4,1584696,KEYNOTE-006,Evidence Pending
Melanoma,BRAFi-unexposed,Trametinib,81.0,52791,METRIC,Evidence Pending
Melanoma,BRAFi-unexposed,"Ipilimumab + Nivolumab",71.8,665422,DREAMseq,Evidence Pending
Melanoma,BRAFi-unexposed,Dacarbazine,67.0,8221,METRIC,Evidence Pending
Melanoma,BRAFi-unexposed,Paclitaxel,67.0,10701,METRIC,Evidence Pending
Melanoma,BRAFi-unexposed,Vemurafenib,65.0,140024,COMBI-v,Evidence Pending
Melanoma,BRAFi-unexposed,"Dabrafenib + Trametinib",44.0,207117,COMBI-d; COMBI-v,Evidence Pending
Melanoma,BRAFi-unexposed,Dabrafenib,32.0,52791,COMBI-d,Evidence Pending
Melanoma,First-line,Nivolumab,39.0,,CheckMate 066,Meets
Melanoma,First-line,Dacarbazine,17.0,8221,CheckMate 066,Meets
Nasopharyngeal carcinoma,First-line,"GC + Toripalimab",77.8,17034,JUPITER-02,Evidence Pending
